Date,Total BTC Balance,Total USD Balance,Balance % Change,Trade Server 1 BTC,Trade Server 1 USD,Trade Server 2 BTC,Trade Server 2 USD,Trade Server 3 BTC,Trade Server 3 USD,,
01-July-2022,0,$0.00,0.00%,0,$0.00,0,$0.00,0,$0.00,,
01-July-2022,0.7517153962,"$15,607.49",0.0000%,0.7517153962,"$15,607.49",0,$0.00,0,$0.00,,
02-July-2022,0.7538698742,"$15,652.22",0.2866%,0.7538698742,"$15,652.22",0,$0.00,0,$0.00,,
03-July-2022,0.748540708,"$15,541.58",-0.7069%,0.748540708,"$15,541.58",0,$0.00,0,$0.00,,
04-July-2022,0.7565854994,"$15,708.61",1.0747%,0.7565854994,"$15,708.61",0,$0.00,0,$0.00,,
05-July-2022,0.7582334781,"$15,742.82",0.2178%,0.7582334781,"$15,742.82",0,$0.00,0,$0.00,,
06-July-2022,0.7634731484,"$15,851.61",0.6910%,0.7634731484,"$15,851.61",0,$0.00,0,$0.00,,
07-July-2022,0.7567234466,"$15,711.47",-0.8841%,0.7567234466,"$15,711.47",0,$0.00,0,$0.00,,
08-July-2022,0.7469995225,"$15,509.58",-1.2850%,0.7469995225,"$15,509.58",0,$0.00,0,$0.00,,
09-July-2022,0.7680115834,"$15,945.84",2.8129%,0.7680115834,"$15,945.84",0,$0.00,0,$0.00,,
10-July-2022,0.9982267715,"$20,725.68",29.9755%,0.9982267715,"$20,725.68",0,$0.00,0,$0.00,,
11-July-2022,1.198529613,"$24,884.47",20.0659%,1.198529613,"$24,884.47",0,$0.00,0,$0.00,,
12-July-2022,1.193028324,"$24,770.25",-0.4590%,1.193028324,"$24,770.25",0,$0.00,0,$0.00,,
13-July-2022,1.183981714,"$24,582.42",-0.7583%,1.183981714,"$24,582.42",0,$0.00,0,$0.00,,
14-July-2022,1.18449782,"$24,593.14",0.0436%,1.18449782,"$24,593.14",0,$0.00,0,$0.00,,
15-July-2022,1.208124782,"$25,083.69",1.9947%,1.208124782,"$25,083.69",0,$0.00,0,$0.00,,
16-July-2022,1.220745128,"$25,345.72",1.0446%,1.220745128,"$25,345.72",0,$0.00,0,$0.00,,
17-July-2022,1.210729021,"$25,137.76",-0.8205%,1.210729021,"$25,137.76",0,$0.00,0,$0.00,,
18-July-2022,1.211332992,"$25,150.30",0.0499%,1.211332992,"$25,150.30",0,$0.00,0,$0.00,,
19-July-2022,1.209022122,"$25,102.32",-0.1908%,1.209022122,"$25,102.32",0,$0.00,0,$0.00,,
20-July-2022,1.227391124,"$25,483.71",1.5193%,1.227391124,"$25,483.71",0,$0.00,0,$0.00,,
21-July-2022,1.249498524,"$25,942.71",1.8012%,1.249498524,"$25,942.71",0,$0.00,0,$0.00,,
22-July-2022,1.245594031,"$25,861.65",-0.3125%,1.245594031,"$25,861.65",0,$0.00,0,$0.00,,
